Grass,	Poison,	45,	49,	49,	65,	65,	45,	1,	0,	318
Grass,	Poison,	60,	62,	63,	80,	80,	60,	1,	0,	405
Grass,	Poison,	80,	82,	83,	100,	100,	80,	1,	0,	525
Grass,	Poison,	80,	100,	123,	122,	120,	80,	1,	0,	625
Fire,	Null,	39,	52,	43,	60,	50,	65,	1,	0,	309
Fire,	Null,	58,	64,	58,	80,	65,	80,	1,	0,	405
Fire,	Flying,	78,	84,	78,	109,	85,	100,	1,	0,	534
Fire,	Dragon,	78,	130,	111,	130,	85,	100,	1,	0,	634
Fire,	Flying,	78,	104,	78,	159,	115,	100,	1,	0,	634
Water,	Null,	44,	48,	65,	50,	64,	43,	1,	0,	314
Water,	Null,	59,	63,	80,	65,	80,	58,	1,	0,	405
Water,	Null,	79,	83,	100,	85,	105,	78,	1,	0,	530
Water,	Null,	79,	103,	120,	135,	115,	78,	1,	0,	630
Bug,	Null,	45,	30,	35,	20,	20,	45,	1,	0,	195
Bug,	Null,	50,	20,	55,	25,	25,	30,	1,	0,	205
Bug,	Flying,	60,	45,	50,	90,	80,	70,	1,	0,	395
Bug,	Poison,	40,	35,	30,	20,	20,	50,	1,	0,	195
Bug,	Poison,	45,	25,	50,	25,	25,	35,	1,	0,	205
Bug,	Poison,	65,	90,	40,	45,	80,	75,	1,	0,	395
Bug,	Poison,	65,	150,	40,	15,	80,	145,	1,	0,	495
Normal,	Flying,	40,	45,	40,	35,	35,	56,	1,	0,	251
Normal,	Flying,	63,	60,	55,	50,	50,	71,	1,	0,	349
Normal,	Flying,	83,	80,	75,	70,	70,	101,	1,	0,	479
Normal,	Flying,	83,	80,	80,	135,	80,	121,	1,	0,	579
Normal,	Null,	30,	56,	35,	25,	35,	72,	1,	0,	253
Normal,	Null,	55,	81,	60,	50,	70,	97,	1,	0,	413
Normal,	Flying,	40,	60,	30,	31,	31,	70,	1,	0,	262
Normal,	Flying,	65,	90,	65,	61,	61,	100,	1,	0,	442
Poison,	Null,	35,	60,	44,	40,	54,	55,	1,	0,	288
Poison,	Null,	60,	85,	69,	65,	79,	80,	1,	0,	438
Electric,	Null,	35,	55,	40,	50,	50,	90,	1,	0,	320
Electric,	Null,	60,	90,	55,	90,	80,	110,	1,	0,	485
Ground,	Null,	50,	75,	85,	20,	30,	40,	1,	0,	300
Ground,	Null,	75,	100,	110,	45,	55,	65,	1,	0,	450
Poison,	Null,	55,	47,	52,	40,	40,	41,	1,	0,	275
Poison,	Null,	70,	62,	67,	55,	55,	56,	1,	0,	365
Poison,	Ground,	90,	92,	87,	75,	85,	76,	1,	0,	505
Poison,	Null,	46,	57,	40,	40,	40,	50,	1,	0,	273
Poison,	Null,	61,	72,	57,	55,	55,	65,	1,	0,	365
Poison,	Ground,	81,	102,	77,	85,	75,	85,	1,	0,	505
Fairy,	Null,	70,	45,	48,	60,	65,	35,	1,	0,	323
Fairy,	Null,	95,	70,	73,	95,	90,	60,	1,	0,	483
Fire,	Null,	38,	41,	40,	50,	65,	65,	1,	0,	299
Fire,	Null,	73,	76,	75,	81,	100,	100,	1,	0,	505
Normal,	Fairy,	115,	45,	20,	45,	25,	20,	1,	0,	270
Normal,	Fairy,	140,	70,	45,	85,	50,	45,	1,	0,	435
Poison,	Flying,	40,	45,	35,	30,	40,	55,	1,	0,	245
Poison,	Flying,	75,	80,	70,	65,	75,	90,	1,	0,	455
Grass,	Poison,	45,	50,	55,	75,	65,	30,	1,	0,	320
Grass,	Poison,	60,	65,	70,	85,	75,	40,	1,	0,	395
Grass,	Poison,	75,	80,	85,	110,	90,	50,	1,	0,	490
Bug,	Grass,	35,	70,	55,	45,	55,	25,	1,	0,	285
Bug,	Grass,	60,	95,	80,	60,	80,	30,	1,	0,	405
Bug,	Poison,	60,	55,	50,	40,	55,	45,	1,	0,	305
Bug,	Poison,	70,	65,	60,	90,	75,	90,	1,	0,	450
Ground,	Null,	10,	55,	25,	35,	45,	95,	1,	0,	265
Ground,	Null,	35,	80,	50,	50,	70,	120,	1,	0,	405
Normal,	Null,	40,	45,	35,	40,	40,	90,	1,	0,	290
Normal,	Null,	65,	70,	60,	65,	65,	115,	1,	0,	440
Water,	Null,	50,	52,	48,	65,	50,	55,	1,	0,	320
Water,	Null,	80,	82,	78,	95,	80,	85,	1,	0,	500
Fighting,	Null,	40,	80,	35,	35,	45,	70,	1,	0,	305
Fighting,	Null,	65,	105,	60,	60,	70,	95,	1,	0,	455
Fire,	Null,	55,	70,	45,	70,	50,	60,	1,	0,	350
Fire,	Null,	90,	110,	80,	100,	80,	95,	1,	0,	555
Water,	Null,	40,	50,	40,	40,	40,	90,	1,	0,	300
Water,	Null,	65,	65,	65,	50,	50,	90,	1,	0,	385
Water,	Fighting,	90,	95,	95,	70,	90,	70,	1,	0,	510
Psychic,	Null,	25,	20,	15,	105,	55,	90,	1,	0,	310
Psychic,	Null,	40,	35,	30,	120,	70,	105,	1,	0,	400
Psychic,	Null,	55,	50,	45,	135,	95,	120,	1,	0,	500
Psychic,	Null,	55,	50,	65,	175,	95,	150,	1,	0,	590
Fighting,	Null,	70,	80,	50,	35,	35,	35,	1,	0,	305
Fighting,	Null,	80,	100,	70,	50,	60,	45,	1,	0,	405
Fighting,	Null,	90,	130,	80,	65,	85,	55,	1,	0,	505
Grass,	Poison,	50,	75,	35,	70,	30,	40,	1,	0,	300
Grass,	Poison,	65,	90,	50,	85,	45,	55,	1,	0,	390
Grass,	Poison,	80,	105,	65,	100,	70,	70,	1,	0,	490
Water,	Poison,	40,	40,	35,	50,	100,	70,	1,	0,	335
Water,	Poison,	80,	70,	65,	80,	120,	100,	1,	0,	515
Rock,	Ground,	40,	80,	100,	30,	30,	20,	1,	0,	300
Rock,	Ground,	55,	95,	115,	45,	45,	35,	1,	0,	390
Rock,	Ground,	80,	120,	130,	55,	65,	45,	1,	0,	495
Fire,	Null,	50,	85,	55,	65,	65,	90,	1,	0,	410
Fire,	Null,	65,	100,	70,	80,	80,	105,	1,	0,	500
Water,	Psychic,	90,	65,	65,	40,	40,	15,	1,	0,	315
Water,	Psychic,	95,	75,	110,	100,	80,	30,	1,	0,	490
Water,	Psychic,	95,	75,	180,	130,	80,	30,	1,	0,	590
Electric,	Steel,	25,	35,	70,	95,	55,	45,	1,	0,	325
Electric,	Steel,	50,	60,	95,	120,	70,	70,	1,	0,	465
Normal,	Flying,	52,	65,	55,	58,	62,	60,	1,	0,	352
Normal,	Flying,	35,	85,	45,	35,	35,	75,	1,	0,	310
Normal,	Flying,	60,	110,	70,	60,	60,	100,	1,	0,	460
Water,	Null,	65,	45,	55,	45,	70,	45,	1,	0,	325
Water,	Ice,	90,	70,	80,	70,	95,	70,	1,	0,	475
